Noun;Verb;Verb;Adjective;Subject;Postposition;Insultive;Romantic;Product;Producer;Color;Political;Descriptive;Object;Tool;Conjunktion;Greeting
butt;;;;;;x;;;x;;;x;x;;1;
arse;;;;;;x;;;x;;;x;x;;1;
cunt;;;;;;x;;;;;;;x;;1;
penis;;;;;;x;;;x;;;;x;;;
whore;;whoring;;;;x;;;;;;;x;;2;
dick;;;;;;x;;;x;;;x;x;;1;
cheese;;;cheesy;;;;;x;;;;x;x;;;
bum;;;;;;x;;;;;;;x;;1;
dildo;;;;;;x;;;;;;;x;;6;
cock;;cocking;;;;x;;;x;;;x;x;;1;
fuck;;fucking;fucked;fucker;;x;;x;x;;;x;x;;5;
bitch;;bitching;bitchy;;;x;;;;;;;x;;;
retard;;;retarded;;;x;;;;;;;x;;;
shit;;shitting;shitty;;;x;;x;;;;x;x;;1;
;;sucking;sucked;;;x;;;;;;;;;;
ass;;;assy;;;x;;;x;;;x;x;;1;
faggot;;;;;;x;;;;;;;x;;;
pirate;;pirating;pirated;;;;;;;;;x;x;;;
sponge;;;;;;;;;;;;;x;;;
gooch;;;;;;x;;;;;;;x;;;
moat;;;;;;x;;;;;;;x;;;
goblin;;;;;;;;;;;;x;x;;;
cornhole;;;cornholed;;;x;;;x;;;;x;;;
spank;;spanking;spanked;;;x;;;;;;;;;;
monkey;;;;;;;;;;;;x;x;;6;
fart;;farting;farted;farter;;x;;x;;;;x;x;;1;
knocker;;knocking;knocked;;;x;;;;;;x;x;;;
schlong;;;;;;x;;;x;;;;x;;2;
puke;;puking;puked;;;x;;x;;;;x;x;;1;
vomit;;vomiting;vomited;;;x;;x;;;;x;x;;;
chocolate;;;;;;;;x;;;;x;;;;
hole;;;holed;;;;;;x;;;;x;;;
;;;black;;;;;;;x;;;;;;
;;;brown;;;;;;;x;;;;;;
;;;yellow;;;;;;;x;;;;;;
;;;red;;;;;;;x;;;;;;
;;;white;;;;;;;x;;;;;;
;;;blue;;;;;;;x;;;;;;
;;;violet;;;;;;;x;;;;;;
;;;green;;;;;;;x;;;;;;
;;;pink;;;;;;;x;;;;;;
mango;;;;;;;;x;;;;;x;;4;
melon;;;;;;;;x;;;;;x;;;
;;;dumb;;;x;;;;;;;;;1;
weed;;;;;;;;x;;;;;x;;1;
dill;;;;;;;;x;;;;;x;;1;
bull;;;;;;;;;;;;x;x;;1;
douche;;;;;;x;;;;;;;x;;2;
bag;;;;;;;;;;;;;;;;
sack;;;;;;;;;;;;;x;;1;
blowjob;;;;;;x;;;;;;;;;;
licker;;;;;;;;;;;;;;;;
love;;loving;lovely;lover;;;x;;;;;;;;;
face;;;faced;;;;;;x;;;;x;;2;
coffee;;;;;;;;x;;;;;x;;6;
aids;;;;;;x;;;;;;;x;;1;
cancer;;;;;;x;;;;;;;x;;;
salami;;;;;;;;x;;;;x;x;;;
wiener;;;;;;;;x;;;;x;x;;;
butter;;buttering;buttered;;;;;x;;;;x;x;;;
dish;;;;;;;;;;;;;;;;
;;;sweet;;;;x;;;;;;;;;
;;;awful;;;;;;;;;;;;;
well;;;;;;;;;x;;;;;;;
;;;beautiful;;;;x;;;;;;;;;
;;;glorious;;;;x;;;;;;;;;
blood;;;bloody;;;;;;x;;;;x;;1;
;;;pure;;;;x;;;;;;;;;
slut;;;slutty;;;x;;;;;;;x;;1;
skank;;;skanky;;;x;;;;;;;x;;;
skcunt;;;;;;x;;;;;;;x;;;
maggot;;;;;;x;;;;;;;x;;;
mobile;;;;;;;;;;;;;x;;;
vehicle;;;;;;;;;;;;;x;;;
;;;;;zilla;x;;;;;;;;;1;
;;;;; kong;x;;;;;;;;;2;
;;masturbating;;masturbator;;x;;;;;;;x;;;
;;wanking;wanked;wanker;;x;;;;;;;x;;;
;;jerking;;jerk;;x;;;;;;;x;;;
;;slapping;slapped;;;;;;;;;;;;;
rape;;raping;raped;raper;;x;;;;;;;x;;1;
pump;;pumping;pumped;;;;;;;;;;;;1;
shotgun;;;;;;;;;;;;;x;;;
cum;;cumming;;;;x;;x;;;;;x;;1;
jizz;;jizzing;;;;x;;x;;;;;x;;1;
lob;;lobbing;;lobber;;;;;;;;;x;;1;
spunk;;spunking;;;;x;;x;;;;;x;;;
discharge;;discharging;discharged;;;x;;x;;;;;x;;;
polyp;;;;;;x;;;;;;x;x;;;
cyst;;;;;;x;;;;;;x;x;;;
fetus;;;;;;;;;;;;x;x;;;
vagina;;;vaginal;;;x;;;;;;;x;;6;
nozzle;;;;;;;;;;;;;x;;;
tornado;;;;;;;;;;;;x;x;;4;
hose;;;;;;;;;;;;;;;;
gash;;;;;;x;;;x;;;;x;;;
slit;;;;;;x;;;x;;;;x;;1;
fist;;fisting;fisted;fister;;x;;;;;;;x;;1;
;;caring;;;;;x;;;;;;;;;
passion;;;passionate;;;;x;;;;;;;;;
;;;generous;;;;x;;;;;;;;;
;;;endearing;;;;x;;;;;;;;;
flower;;flowering;;;;;x;;;;;;x;;2;
;;erecting;;erect;;x;;;;;;;x;;;
crap;;crapping;crapped;;;x;;;;;;;x;;1;
sacrifice;;sacrificing;sacrificed;;;;;;;;;;;;;
cactus;;;;;;;;;;;;;x;;2;
description;;describing;descriptive;;;;;;;;;;x;;;
;;;godly;god;;;;;;;;;x;;;
drop;;dropping;dropped;;;;;;;;;;x;;1;
accident;;;accidental;;;;;;;;;;x;;;
fat;;;fat;;;x;;;;;;;x;;1;
;;aborting;aborted;abortion;;;;;;;;x;x;;;
thief;;thieving;;;;;;;;;;;;;;
mouth;;;;;;;;;;;;x;;;;
flumpkin;;;;;;x;;;;;;;x;;;
flush;;flushing;flushed;;;;;;;;;;;;;
;;;smart;;;;;;;;;;;;;
boner;;;;;;x;;;;;;;x;;;
woodrow;;;;;;x;;;;;;;x;;;
testicle;;;;;;x;;;;;;;x;;;
sack;;sacking;sacked;;;;;;;;;;;;;
leak;;leaking;;;;;;;;;;;;;;
;;;sloppy;;;;;;;;;;;;;
;;dripping;;;;;;;;;;;;;;
;;;tight;;;;;;;;;;;;;
pussy;;;;;;x;;;;;;x;x;;4;
head;;;;;;;;;;;;;x;;1;
nut;;;;;;x;;;;;;x;;;1;
seed;;;;;;;;;;;;;;;;
twat;;;;;;x;;;;;;;x;;;
;;;;mother;;;;;;;;x;x;;;
;;;;father;;;;;;;;x;x;;;
;;sucking;sucked;sucker;;x;;;;;;;x;;;
;;;;butler;;;;;;;;;x;;;
probe;;probing;;;;;;;;;;;;;;
tit;;;;;;true;;;;;;;x;;1;
;;;bastardized;bastard;;true;;;;;;;x;;;
;;;spastic;;;;;;;;;;;;;
;;voyeuring;;voyeur;;;;;;;;;x;;;
;;;enormous;;;;;;;;;;;;;
semen;;;;;;true;;;;;;x;x;;;
blend;;blending;blended;blender;;;;;;;;;x;;;
;;bloating;bloated;;;;;;;;;;;;;
;;;one-balled;;;true;;;;;;;;;;
shaft;;;;;;;;;;;;;x;;;
force;;forcing;forced;;;;;;;;;x;;;;
;;;;fondler;;;;;;;;;x;;;
;;sniffing;sniffed;sniffer;;;;;;;;;x;;;
;;;old;;;;;;;;;;;;;
;;;young;;;;;;;;;;;;;
;;;fresh;;;;;;;;;;;;;
;;;expired;;;;;;;;;;;;;
excrement;;excrementing;excremented;;;x;;x;;;;x;x;;;
;;collecting;collected;collector;;;;;;;;;x;;;
nugget;;;;;;;;;;;;;x;;2;
experiment;;experimenting;experimental;;;;;;;;;;x;;;
;;;irrelevant;;;;;;;;;;;;;
shark;;;;;;;;;;;;;x;;1;
;;;;infidel;;x;;;;;;;x;;;
;;;;shiner;;;;;;;;;x;;;
;;graduating;graduated;graduate;;;;;;;;;x;;;
cockroach;;;;;;x;;;;;;;x;;;
;;handling;handled;handler;;;;;;;;;;;;
;;;long;;;;;;;;;;;;;
;;;short;;;;;;;;;;;;;
;;;;professor;;;;;;;;;x;;;
;;herding;;herder;;;;;;;;;x;;;
stain;;;;;;;;;;;;;x;;;
;;;;clusterfuck;;x;;;;;;;x;;;
thistle;;;;;;;;;;;;;x;;;
;;;senile;;;x;;;;;;;;;;
;;;;gay;;x;;;;;;x;x;;;
;;;;lord;;;;;;;;;x;;;
;;;;dictator;;;;;;;;;x;;;
;;;;rider;;;;;;;;;x;;;
cocksplurt;;;;;;x;;;;;;;x;;;
dog;;;;;;;;;;;;;x;;1;
piss;;pissing;pissed;;;x;;;;;;x;x;;;
pipe;;;;;;;;;;;;;x;;;
;;failing;failed;;;;;;;;;;;;;
;;extracting;extracted;extractor;;;;;;;;;x;;;
fan;;;;;;;;;;;;;x;;;
diarrhea;;;;;;x;;;;;;;x;;;
waffle;;;;;;;;;;;;;x;;;
biscuit;;;;;;;;;;;;;x;;;
;;;undead;;;;;;;;;;;;;
;;detecting;detected;detector;;;;;;;;;x;;;
colon;;;;;;;;;;;;;x;;;
;;;;boy;;;;;;;;;x;;;
;;;fetid;;;;;;;;;;;;;
;;rotting;;rotter;;;;;;;;;x;;;
rage;;raging;;;;;;;;;;;;;1;
;;encumbering;encumbered;;;;;;;;;;;;;
;;;engorged;;;;;;;;;;;;;
tea-bag;;tea-bagging;tea-bagged;;;;;;;;;;;;;
;;;;hitler;;x;;;;;;;x;;;
;;;naked;;;;;;;;;;;;;
;;;;zombie;;;;;;;;;x;;;
;;;bald;;;;;;;;;;;;;
poop;;pooing;pooped;;;x;;;;;;x;x;;1;
knob;;;;;;x;;;;;;x;x;;1;
;;infecting;infected;;;;;;;;;;;;;
;;rupturing;ruptured;;;;;;;;;;;;;
;;banging;banged;;;;;;;;;;;;;
;;scraping;scraped;;;;;;;;;;;;;
;;;epileptic;;;;;;;;;;;;;
;;;contagious;;;;;;;;;;;;;
;;;infectious;;;;;;;;;;;;;
;;;gutted;;;;;;;;;;;;;
nipple;;;;;;x;;;;;;x;x;;6;
anus;;;;;;x;;;;;;x;x;;;
;;beating;beaten;;;;;;;;;;;;;
;;;;king;;;;;;;;;x;;;
;;;;princess;;;;;;;;;x;;;
;;;;queen;;;;;;;;;x;;;
;;;;prince;;;;;;;;;x;;;
mudhatch;;;;;;true;;;;;;;x;;;
;;;;racist;;;;;;;;;x;;;
;;;;alien;;;;;;;;;x;;;
sample;;sampling;sampled;;;;;;;;;;x;;;
;;;rectal;;;;;;;;;;;;;
;;;;trump;;;;;;;x;;x;;;
;;;;hillary;;;;;;;x;;x;;;
;;;;merkel;;;;;;;x;;x;;;
;;;;putin;;;;;;;x;;x;;;
;;;;erdogan;;;;;;;x;;x;;;
;;;bearded;;;;;;;;;;;;;
;;;indeterminable;;;;;;;;;;;;;
ball;;;;;;;;;;;;;x;;;
smegma;;;;;;;;;;;;;x;;;
;;bashing;bashed;basher;;;;;;;;;;;;
;;;personal;;;;;;;;;;;;;
;;;;milf;;x;;;;;x;;x;;;
;;plonking;plonked;plonker;;x;;;;;;;x;;;
torch;;;;;;;;;;;;;x;;;
pile;;;;;;;;;;;;;x;;;
rant;;ranting;;;;;;;;;;;;;1;
flame;;flaming;flamed;flamer;;;;;;;;;x;;1;
;;conniving;;;;;;;;;;;;;;
;;amputating;amputated;amputee;;;;;;;;;x;;;
;;;daft;;;;;;;;;;;;;
;;;unimaginable;;;;;;;;;;;;;
;;;;bandit;;;;;;;;;x;;;
;;;catholic;;;;;;;;x;;;;;
;;;evangelical;;;;;;;;x;;;;;
;;;conversative;;;;;;;;;;;;;
;;;conservative;;;;;;;;x;;;;;
;;;progressive;;;;;;;;x;;;;;
;;;funky;;;;;;;;;;;;;
;;;;mong;;x;;;;;x;;x;;;
;;;;turd;;true;;;;;;;x;;;
;;annoying;annoyed;;;;;;;;;;;;;
;;twisting;twisted;;;;;;;;;;;;;
;;;devious;;;;;;;;;;;;;
;;;maniacal;maniac;;;;;;;;;x;;;
;;;manevolent;;;;;;;;;;;;;
;;baiting;;bait;;;;;;;;;x;;;
;;;golden;;;;;;;x;;;;;;
;;;incestual;;;;;;;;;;;;;
;;;;inbreed;;true;;;;;;;x;;;
;;;;half-breed;;true;;;;;;;x;;;
;;;infested;;;;;;;;;;;;;
;;;;ginger;;;;;;;;;x;;;
bottle;;bottling;bottled;;;;;;;;;;x;;;
fudge;;fudging;fudged;;;x;;;;;;;x;;1;
;;;;packer;;;;;;;;;x;;;
fool;;;foolish;;;;;;;;;;x;;;
tranny;;;;;;x;;;;;;;x;;4;
;;blooming;bloomed;;;;x;;;;;;;;;
;;;treacherous;;;;;;;;;;;;;
;;demonizing;demonized;demon;;;;;;;;;x;;;
;;;;pig;;x;;;;;;;x;;;
;;bewitching;bewitched;witch;;;;;;;;;x;;;
;;;mystical;;;;;;;;;;;;;
;;;titless;;;x;;;;;;;;;;
;;transfixing;transfixed;;;;;;;;;;;;;
;;;;imp;;;;;;;;;x;;;
;;;;pixie;;;;;;;;;x;;;
;;;unconscionable;;;;;;;;;;;;;
;;;unfathomable;;;;;;;;;;;;;
ram;;ramming;rammed;;;;;;;;;;x;;;
;;;cannibalistic;cannibal;;;;;;;;;x;;;
condom;;;;;;x;;;;;;;x;;;
rocket;;;;;;;;;;;;;x;;;
;;kicking;kicked;;;;;;;;;;;;;
banana;;;;;;;;;;;;;x;;6;
scrotum;;;;;;x;;;;;;;x;;;
;;;prodigal;prodigy;;;;;;;;;x;;;
;;;hard;;;;;;;;;;;;;
;;;constipated;;;;;;;;;;;;;
;;;;fuckwit;;x;;;;;;;x;;;
impact;;;impacted;;;;;;;;;;x;;;
sepsis;;;septic;;;;;;;;;;x;;;
cannon;;;;;;;;;;;;;x;;;
rifle;;;;;;;;;;;;;x;;;
bazooka;;;;;;;;;;;;;x;;4;
pistol;;;;;;;;;;;;;x;;;
grenade;;;;;;;;;;;;;x;;;
bukkake;;;;;;x;;;;;;;x;;6;
;;;;smurf;;;;;;;;;x;;;
lava;;;;;;;;;;;;;;;4;
forest;;;;;;;;;;;;x;;;;
;;;horrid;;;;;;;;;;;;;
;;;wise;;;;x;;;;;;;;;
plan;;;;;;;;;;;;;;;;
lolli;;;;;;;;;;;;;x;;6;
;;;;sparrow;;;;;;;;;x;;;
;;;;ape;;;;;;;;;x;;;
plug;;;;;;;;;;;;;x;;1;
wipe;;wiping;wiped;;;;;;;;;;x;;1;
clodpole;;;;;;x;;;;;;;x;;;
;;;cross-eyed;;;x;;;;;;;;;;
;;;dickless;;;;;;;;;;;;;
;;;mental;;;;;;;;;;;;;
;;;insane;;;;;;;;;;;;;
;;;utter;;;;;;;;;;;;;
;;;certified;;;;;;;;;;;;;
;;;stinky;;;;;;;;;;;;;
;;;gigantic;;;;;;;;;;;;;
;;;;worm;;;;;;;;;x;;;
;;;instant;;;;;;;;;;;;;
;;;;artist;;;;;;;;;x;;;
;;;formal;;;;;;;;;;;;;
;;;holy;;;;;;;;;;;;;
;;;throbbing;;;;;;;;;;;;;
;;;;horse;;;;;;;;;x;;;
;;;;invader;;;;;;;;;x;;;
stack;;stacking;stacked;;;;;;;;;;x;;1;
;;;complete;;;;;;;;;;;;;
wax;;;;;;x;;;;;;;;;;
brain;;;;;;;;;;;;;x;;;
boil;;boiling;boiled;;;;;;;;;;x;;;
;;;inhuman;;;;;;;;;;;;;
;;;;whale;;;;;;;;;x;;;
;;pulsating;;;;;;;;;;;;;;
;;;;whistle;;;;;;;;;x;;;
;;overrating;overrated;;;;;;;;;;;;;
;;dangling;;;;;;;;;;;;;;
;;wielding;;;;;;;;;;;;x;;
;;;;weasel;;;;;;;;;x;;;
;;;foul;;;;;;;;;;;;;
;;;;pedophile;;x;;;;;;;x;;;
;;cunning;;;;;;;;;;;;;;
;;;cumbersome;;;;;;;;;;;;;
;;emitting;emitted;;;;;;;;;;;;;
storm;;;;;;;;;;;;;;;;
temptation;;tempting;;;;;;;;;;;x;;;
disaster;;disastrous;;;;;;;;;;;x;;;
armaggeddon;;;;;;;;;;;;;x;;;
ragnarök;;;;;;;;;;;;;x;;;
kraut;;;;;;;;x;;;;x;x;;1;
nazi;;;;;;x;;;;;x;x;x;;6;
;;;;göbbels;;x;;;;;x;;x;;;
;;;;mengele;;x;;;;;x;;x;;;
beer;;;;;;;;x;;;;;;;;
sword;;;;;;;;;;;;;;x;;
punch;;punching;punched;;;;;;;;;;;;;
;;poking;;;;;;;;;;;;;;
trash;;;;;;x;;;;;;;;;;
;;stylish;;;;;x;;;;;;;;;
hat;;;;;;;;;;;;;;;1;
;;;;molester;;x;;;;;;;x;;;
;;;;nerd;;;;;;;;;x;;;
shame;;shaming;shameful;;;;;;;;;;;;;
