Level	Requirement	Optimum	Maximum	HP	MP	Power	Defense	Dexterity	Experience	Gold
1	1	5	1	14	4	11	6	5	10	5
2	2	8	2	18	6	16	6	10	13	8
3	3	10	3	19	10	19	10	12	17	12
4	3	14	4	20	14	21	10	15	20	18
5	4	15	5	22	20	23	11	17	25	24
6	5	18	6	25	24	29	12	18	28	30
7	6	20	8	27	27	32	14	19	33	35
8	8	24	9	30	30	36	15	21	37	42
9	9	28	10	34	32	39	17	22	40	50
10	10	34	11	36	35	44	19	24	45	60
11	11	38	12	38	38	50	21	26	52	68
12	12	40	13	42	40	54	23	27	60	75
13	13	42	14	46	42	56	23	27	68	85
14	14	48	15	50	44	61	23	28	74	93
15	15	48	16	55	49	65	24	28	80	102
16	16	50	17	62	54	68	25	29	88	110
