Level	Requirement	Optimum	Maximum	HP	MP	Power	Defense	Dexterity	Experience	Gold
1	1	7	1	20	2	13	6	3	12	8
2	2	10	2	24	3	15	7	4	16	15
3	3	14	3	29	5	20	7	5	19	22
4	3	16	5	32	6	21	9	6	25	28
5	4	19	6	37	7	25	10	7	31	36
6	5	21	6	42	8	29	14	10	37	48
7	6	24	8	49	9	32	15	11	45	56
8	8	27	9	58	10	41	16	12	54	68
9	9	29	10	66	11	46	17	13	62	75
10	10	35	11	72	12	50	19	14	68	85
11	11	38	12	80	14	54	20	14	73	98
12	12	42	13	89	15	59	23	15	78	106
13	13	47	14	96	16	63	24	16	86	113
14	14	48	15	102	18	67	25	16	90	118
15	15	48	16	108	19	71	26	18	98	128
16	16	50	17	115	20	75	28	20	105	137
17	17	55	18	125	24	80	30	22	112	155
18	18	58	19	133	27	85	31	23	118	170
19	19	60	20	145	29	90	33	25	125	183
20	20	62	21	155	32	93	36	27	134	196
