Level	Requirement	Optimum	Maximum	HP	MP	Power	Defense	Dexterity	Experience	Gold
1	1	3	1	10	2	10	7	5	9	18
2	2	4	2	13	3	15	8	3	13	22
3	3	5	3	15	5	19	11	3	17	26
4	3	7	3	20	6	20	12	5	20	31
5	4	8	5	22	7	23	12	5	25	38
6	5	10	6	25	8	24	13	6	31	43
7	6	11	8	30	10	33	15	8	36	47
8	8	14	9	38	12	38	18	10	42	52
9	9	20	10	42	13	42	20	13	48	62
10	10	25	11	50	15	47	22	14	55	75
11	11	29	12	56	16	53	23	14	64	88
12	12	32	13	65	18	58	24	15	75	101
13	13	35	14	70	19	62	25	16	82	105
14	14	38	15	76	20	66	26	17	88	111
15	15	40	16	84	20	72	28	18	98	124
16	16	44	17	90	21	76	30	19	105	131
17	17	50	19	100	25	81	32	20	110	142
18	18	52	20	112	27	86	35	21	116	150
19	19	55	21	122	30	91	38	22	122	160
20	20	60	22	132	32	94	40	24	130	173
